,fid,idiip,id_prng,naz_glowna,el_rozroz,el_rodzaj,dopelniacz,przymiot,status_naz,kat_ob,rodzaj_ob,naz_m_nad,id_m_nad,infor_dod,sys_zew,id_zew,tyt_d_zrod,dat_d_zrod,wyd_d_zrod,reprez_ob,wsp_geo,wsp_XY,naz_his,naz_obo,naz_dod,jez_dod,lat_dod,endonim,jez_end,lat_end,egzonim,jez_egz,lat_egz,woj,powiat,gmina,id_gminy,pocz_w_ob,wer_ob,wazna_od,geometry,nearest1,cluster1,nearest2,nearest2_dist,cluster2,nearest3,nearest3_dist,cluster3,nearest4,nearest4_dist,cluster4,nearest5,nearest5_dist,cluster5,line1,line2,line3,line4,line5
578,579,PL.PZGiK.320.NGRP.100795,100795,Pierzchnica,Pierzchnica,,-cy,pierzchnicki,urzędowa,miejscowość,miasto,,,do 1.01.2019 r. - wieś,TERYT (SIMC),0262310,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Rozporządzenie Rady Ministrów",1991-01-01; 2012-12-13; 2018-07-25; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Rada Ministrów; Główny Urząd Statystyczny,punkt główny,"50°41'51"" 20°45'14""",623821.64 315954.53,,,,,,,,,,,,świętokrzyskie,kielecki,Pierzchnica-gmina miejsko-wiejska,2604153,2022-01-11T16:30:48,2022-01-11T16:30:48,2019-01-03,POINT (623821.6400000004 315954.52999999933),85,579,-1,21437,705.0,-1,21437,540.0,-1,21437,863.0,-1,95104,244.0,"LINESTRING (623821.6400000004 315954.52999999933, 623897.03 306719.21999999974)",,,,
579,580,PL.PZGiK.320.NGRP.100851,100851,Pieszyce,Pieszyce,,-szyc,pieszycki,urzędowa,miejscowość,miasto,,,do 2015 r. - gmina miejska,TERYT (SIMC),0984396,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13; 2015-07-28,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji; Rada Ministrów,punkt główny,"50°42'44"" 16°34'49""",329231.98 318933.69,,,,,,,,,,,,dolnośląskie,dzierżoniowski,Pieszyce-gmina miejsko-wiejska,0202033,2022-01-11T16:43:21,2022-01-11T16:43:21,2016-01-04,POINT (329231.98000000033 318933.6900000004),28,580,-1,12723,585.0,-1,14994,585.0,178,14994,244.0,-1,35428,244.0,"LINESTRING (329231.98000000033 318933.6900000004, 331347.6900000001 315779.2399999993)",,,"LINESTRING (329231.98000000033 318933.6900000004, 314407.81000000006 316678.4099999983)",
580,581,PL.PZGiK.320.NGRP.101101,101101,Pilawa,Pilawa,,-wy,pilawski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0975753,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°57'36"" 21°31'56""",673927.53 457889.52,,,,,,,,,,,,mazowieckie,garwoliński,Pilawa-gmina miejsko-wiejska,1403103,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-05-29,POINT (673927.53 457889.51999999955),165,581,-1,21884,607.0,-1,21884,863.0,-1,21884,863.0,-1,103693,244.0,"LINESTRING (673927.53 457889.51999999955, 679898.99 451145.1500000004)",,,,
581,582,PL.PZGiK.320.NGRP.101146,101146,Pilica,Pilica,,-cy,pilicki,urzędowa,miejscowość,miasto,,,do 1993 r. - wieś,TERYT (SIMC),0219566,"Mapa topograficzna w skali 1:10 000; Rozporządzenie Rady Ministrów z dnia 13 grudnia 1993 r., D.U. Nr 123, poz. 555; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejs",1993-12-13; 2012-12-13; 1982-01-01,Rada Ministrów; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°28'04"" 19°39'26""",546628.61 289165.8,,,,,,,,,,,,śląskie,zawierciański,Pilica-gmina miejsko-wiejska,2416073,2021-09-23T00:36:49,2021-09-23T00:36:49,2013-06-09,POINT (546628.61 289165.7999999989),519,928,-1,20944,951.0,-1,20944,540.0,-1,68341,863.0,-1,68341,244.0,"LINESTRING (546628.61 289165.7999999989, 537023.9000000003 287272.79000000004)",,,,
582,583,PL.PZGiK.320.NGRP.101193,101193,Pilzno,Pilzno,,-na,pilzneński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0982345,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°58'42"" 21°17'28""",664214.23 237069.59,,,,,,,,,,,,podkarpackie,dębicki,Pilzno-gmina miejsko-wiejska,1803063,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-01-21,POINT (664214.2300000002 237069.59000000078),132,583,65,13906,339.0,677,15546,949.0,-1,38040,863.0,-1,178299,244.0,"LINESTRING (664214.2300000002 237069.59000000078, 672248.9299999999 245403.16999999993)","LINESTRING (664214.2300000002 237069.59000000078, 673123.9000000004 226392.46999999974)","LINESTRING (664214.2300000002 237069.59000000078, 653579.73 225729.78000000026)",,
583,584,PL.PZGiK.320.NGRP.101203,101203,Piła,Piła,,-ły,pilski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0966530,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°08'51"" 16°44'22""",348873.61 589304.09,,,,,,,,,,,,wielkopolskie,pilski,Piła-gmina miejska,3019011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-22,POINT (348873.6100000001 589304.0899999989),848,848,-1,20907,848.0,-1,22916,848.0,-1,22916,848.0,-1,148043,244.0,"LINESTRING (348873.6100000001 589304.0899999989, 348079.0600000001 578803.8399999999)",,,,
584,585,PL.PZGiK.320.NGRP.101259,101259,Piława Górna,Piława Górna,,-wy -nej,piławski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0984491,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°40'54"" 16°45'14""",341374.95 315135.41,,,,,,,,,,,,dolnośląskie,dzierżoniowski,Piława Górna-gmina miejska,0202041,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-06-30,POINT (341374.9500000002 315135.41000000015),484,585,159,8909,585.0,930,11116,585.0,-1,24255,244.0,-1,24935,244.0,"LINESTRING (341374.9500000002 315135.41000000015, 347214.63 318873.36000000034)","LINESTRING (341374.9500000002 315135.41000000015, 334294.3500000001 320542.69999999925)","LINESTRING (341374.9500000002 315135.41000000015, 345219.4700000001 304705.0199999986)",,
585,586,PL.PZGiK.320.NGRP.101322,101322,Pińczów,Pińczów,,-czowa,pińczowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0947580,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°31'12"" 20°31'36""",608189.73 295888.79,,,,,,,,,,,,świętokrzyskie,pińczowski,Pińczów-gmina miejsko-wiejska,2608043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-09-12,POINT (608189.73 295888.79000000097),70,533,-1,19079,705.0,-1,30616,540.0,-1,30616,863.0,-1,97563,244.0,"LINESTRING (608189.73 295888.79000000097, 621908.5799999998 290537.1799999997)",,,,
586,587,PL.PZGiK.320.NGRP.101339,101339,Pionki,Pionki,,-nek,pionkowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0973748,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°28'43"" 21°27'09""",670260.77 404179.57,,,,,,,,,,,,mazowieckie,radomski,Pionki-gmina miejska,1425011,2021-04-08T09:00:00,2021-04-08T09:00:00,2019-04-26,POINT (670260.7699999998 404179.5700000003),245,587,-1,22524,587.0,-1,28948,863.0,-1,38612,863.0,-1,100303,244.0,"LINESTRING (670260.7699999998 404179.5700000003, 662012.55 398644.61000000034)",,,,
587,588,PL.PZGiK.320.NGRP.101395,101395,Piotrków Kujawski,Piotrków Kujawski,,-kowa -kiego,piotrkowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0867510,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"52°33'04"" 18°29'51""",465942.82 520709.22,,,,,,,,,,,,kujawsko-pomorskie,radziejowski,Piotrków Kujawski-gmina miejsko-wiejska,0411053,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-09-02,POINT (465942.8200000001 520709.21999999974),650,650,-1,18044,565.0,-1,18044,766.0,-1,72335,848.0,-1,103078,244.0,"LINESTRING (465942.8200000001 520709.21999999974, 468002.24999999994 528689.7400000002)",,,,
588,589,PL.PZGiK.320.NGRP.101398,101398,Piotrków Trybunalski,Piotrków Trybunalski,,-kowa -kiego,piotrkowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0967430,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°24'40"" 19°41'10""",547702.87 394057.52,,,,,,,,,,,,łódzkie,Piotrków Trybunalski,Piotrków Trybunalski-gmina miejska,1062011,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-11-25,POINT (547702.8700000001 394057.5199999986),895,895,-1,22977,393.0,-1,22977,934.0,-1,38290,848.0,-1,38290,244.0,"LINESTRING (547702.8700000001 394057.5199999986, 557588.44 404610.7999999998)",,,,
589,590,PL.PZGiK.320.NGRP.101728,101728,Pisz,Pisz,,-sza,piski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977835,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°37'48"" 21°48'22""",685480.82 644226.35,,,,,,,,,,,,warmińsko-mazurskie,piski,Pisz-gmina miejsko-wiejska,2816033,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-07-01,POINT (685480.8199999998 644226.3499999996),20,784,-1,24734,680.0,-1,26019,249.0,-1,62980,848.0,-1,62980,244.0,"LINESTRING (685480.8199999998 644226.3499999996, 702482.92 642795.2699999986)",,,,
590,591,PL.PZGiK.320.NGRP.101815,101815,Piwniczna-Zdrój,Piwniczna-Zdrój,,-nej-Zdroju,piwniczański,urzędowa,miejscowość,miasto,,,do 1998 r. - Piwniczna,TERYT (SIMC),0961768,"Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra SWiA z dnia 14 stycznia 1998, D. U. Nr 11, poz. 41; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscowo",1998-01-14; 2012-12-13; 1982-01-01,Minister Spraw Wewnętrznych i Administracji; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"49°26'28"" 20°42'58""",624368.76 176256.19,Piwniczna,,,,,,,,,,,małopolskie,nowosądecki,Piwniczna-Zdrój-gmina miejsko-wiejska,1210133,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-12-02,POINT (624368.76 176256.18999999948),740,740,471,16190,740.0,-1,26411,949.0,-1,49727,863.0,-1,202244,244.0,"LINESTRING (624368.76 176256.18999999948, 618186.8899999999 189811.75999999978)","LINESTRING (624368.76 176256.18999999948, 637642.9500000002 166987.13999999966)",,,
591,592,PL.PZGiK.320.NGRP.102055,102055,Pleszew,Pleszew,,-wa,pleszewski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0937280,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°53'47"" 17°47'09""",416474.0 448472.44,,,,,,,,,,,,wielkopolskie,pleszewski,Pleszew-gmina miejsko-wiejska,3020063,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-25,POINT (416474.0000000001 448472.4399999995),88,592,142,13221,328.0,-1,20197,766.0,-1,52558,848.0,-1,56038,244.0,"LINESTRING (416474.0000000001 448472.4399999995, 422432.9900000001 457353.8100000005)","LINESTRING (416474.0000000001 448472.4399999995, 403704.6800000002 445044.44000000134)",,,
592,593,PL.PZGiK.320.NGRP.102452,102452,Płock,Płock,,-ka,płocki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0968687,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°32'27"" 19°41'23""",546762.74 519670.38,,,,,,,,,,,,mazowieckie,Płock,Płock-gmina miejska,1462011,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-07-07,POINT (546762.7400000001 519670.3799999999),166,686,-1,27116,625.0,-1,29884,766.0,-1,29884,848.0,-1,29884,244.0,"LINESTRING (546762.7400000001 519670.3799999999, 549931.52 503863.6299999999)",,,,
593,594,PL.PZGiK.320.NGRP.102544,102544,Płońsk,Płońsk,,-ka,płoński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0930800,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°37'20"" 20°22'26""",592974.77 529383.46,,,,,,,,,,,,mazowieckie,płoński,Płońsk-gmina miejska,1420011,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-12-01,POINT (592974.7700000001 529383.46),726,726,-1,22665,940.0,-1,25727,571.0,-1,47221,863.0,-1,47221,244.0,"LINESTRING (592974.7700000001 529383.46, 599482.02 536753.7000000002)",,,,
594,595,PL.PZGiK.320.NGRP.102614,102614,Płoty,Płoty,,-tów,płocki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0979432,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°48'16"" 15°16'05""",254361.44 666429.95,,,,,,,,,,,,zachodniopomorskie,gryficki,Płoty-gmina miejsko-wiejska,3205043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-16,POINT (254361.44000000012 666429.9499999993),664,664,502,17882,869.0,-1,37362,829.0,-1,87476,848.0,-1,208845,244.0,"LINESTRING (254361.44000000012 666429.9499999993, 263294.0800000002 662413.1599999992)","LINESTRING (254361.44000000012 666429.9499999993, 244075.6 651801.9699999988)",,,
595,596,PL.PZGiK.320.NGRP.102797,102797,Pniewy,Pniewy,,Pniew,pniewski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0971270,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"52°30'29"" 16°15'19""",313787.9 519328.34,,,,,,,,,,,,wielkopolskie,szamotulski,Pniewy-gmina miejsko-wiejska,3024063,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-05-02,POINT (313787.9 519328.339999998),395,596,-1,18718,596.0,-1,18718,556.0,-1,18718,848.0,-1,70904,244.0,"LINESTRING (313787.9 519328.339999998, 308476.6099999999 512856.6200000001)",,,,
596,597,PL.PZGiK.320.NGRP.102839,102839,Pobiedziska,Pobiedziska,,-dzisk,pobiedziski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0971287,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°28'39"" 17°17'06""",383557.09 513772.39,,,,,,,,,,,,wielkopolskie,poznański,Pobiedziska-gmina miejsko-wiejska,3021123,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-28,POINT (383557.0900000001 513772.38999999873),317,597,-1,14986,635.0,-1,21666,766.0,-1,21666,848.0,-1,99987,244.0,"LINESTRING (383557.0900000001 513772.38999999873, 379303.32 504963.54000000004)",,,,
597,598,PL.PZGiK.320.NGRP.104173,104173,Poddębice,Poddębice,,-bic,poddębicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0976400,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°53'35"" 18°57'18""",496904.36 447415.52,,,,,,,,,,,,łódzkie,poddębicki,Poddębice-gmina miejsko-wiejska,1011033,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-01-18,POINT (496904.3600000001 447415.5200000005),850,850,-1,22413,839.0,-1,22413,766.0,-1,22413,848.0,-1,58067,244.0,"LINESTRING (496904.3600000001 447415.5200000005, 485862.31000000023 456564.4399999995)",,,,
598,599,PL.PZGiK.320.NGRP.104903,104903,Podkowa Leśna,Podkowa Leśna,,-wy -nej,podkowiański,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0921504,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"52°07'24"" 20°43'39""",618227.74 474429.75,,,,,,,,,,,,mazowieckie,grodziski,Podkowa Leśna-gmina miejska,1405021,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-06-09,POINT (618227.74 474429.75),58,599,-1,4245,599.0,-1,17523,571.0,-1,58103,863.0,-1,63484,244.0,"LINESTRING (618227.74 474429.75, 617473.2299999999 476574.88999999966)",,,,
599,600,PL.PZGiK.320.NGRP.106747,106747,Pogorzela,Pogorzela,,-li,pogorzelski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0954580,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°49'21"" 17°13'49""",378073.79 441047.72,,,,,,,,,,,,wielkopolskie,gostyński,Pogorzela-gmina miejsko-wiejska,3004063,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-03-17,POINT (378073.7900000004 441047.71999999974),52,232,297,11773,297.0,-1,15344,766.0,-1,53415,848.0,-1,53415,244.0,"LINESTRING (378073.7900000004 441047.71999999974, 379144.7400000003 451480.96999999974)","LINESTRING (378073.7900000004 441047.71999999974, 377535.61000000004 429286.2999999998)",,,
600,601,PL.PZGiK.320.NGRP.107171,107171,Polanica-Zdrój,Polanica-Zdrój,,-cy-Zdroju,polanicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0984522,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°24'12"" 16°30'41""",323201.17 284746.52,,,,,,,,,,,,dolnośląskie,kłodzki,Polanica-Zdrój-gmina miejska,0208051,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-07-07,POINT (323201.17000000004 284746.5199999986),786,786,294,10747,930.0,-1,32084,585.0,-1,33120,244.0,-1,57716,244.0,"LINESTRING (323201.17000000004 284746.5199999986, 318469.89999999997 286273.1900000004)","LINESTRING (323201.17000000004 284746.5199999986, 333373.39 288217.08999999985)",,,
601,602,PL.PZGiK.320.NGRP.107270,107270,Polanów,Polanów,,-nowa,polanowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0950115,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"54°07'07"" 16°41'03""",348693.85 697391.66,,,,,,,,,,,,zachodniopomorskie,koszaliński,Polanów-gmina miejsko-wiejska,3209063,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-23,POINT (348693.85 697391.6600000001),280,719,41,19168,719.0,-1,34898,829.0,-1,46277,848.0,-1,252342,244.0,"LINESTRING (348693.85 697391.6600000001, 362400.9900000001 710726.6999999993)","LINESTRING (348693.85 697391.6600000001, 341884.67999999993 679472.8399999999)",,,
602,603,PL.PZGiK.320.NGRP.107434,107434,Police,Police,,-lic,policki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0979449,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°33'09"" 14°34'19""",206820.4 641065.58,,,,,,,,,,,,zachodniopomorskie,policki,Police-gmina miejsko-wiejska,3211043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-25,POINT (206820.40000000014 641065.5800000001),745,745,-1,26697,869.0,-1,26697,829.0,-1,130303,848.0,-1,177825,244.0,"LINESTRING (206820.40000000014 641065.5800000001, 211227.55999999994 651931.6299999999)",,,,
